date,mean_wind_speed_kph,max_hourly_mean_wind_speed_kph,min_hourly_mean_wind_speed_kph,high_ten_min_mean_wind_speed_kph,wind_direction_at_max_ten_min_mean_deg,highest_gust_speed_kph
2015-04-18,19.61,27.78,12.964,31.45,90,44.4
2015-04-19,13.13,18.52,5.556,22.2,100,31.45
2015-04-20,8.51,12.964,1.852,18.5,190,27.75
2015-04-21,9.62,14.816,5.556,18.5,80,27.75
2015-04-22,11.66,18.52,5.556,20.35,110,31.45
2015-04-23,6.85,11.112,5.556,14.8,190,22.2
2015-04-24,10.36,22.224,3.704,24.05,200,37
2015-04-25,18.69,24.076,11.112,27.75,10,40.7
2015-04-26,10.18,16.668,3.704,25.9,330,40.7
2015-04-27,18.87,37.04,3.704,44.4,290,72.15
2015-04-28,18.69,37.04,11.112,40.7,200,62.9
2015-04-29,19.24,37.04,7.408,42.55,250,64.75
2015-04-30,10.73,14.816,5.556,24.05,30,42.55
2015-05-01,20.35,25.928,11.112,29.6,100,44.4
2015-05-02,24.24,29.632,16.668,33.3,110,49.95
2015-05-03,19.06,25.928,9.26,29.6,230,42.55
2015-05-04,15.91,27.78,3.704,31.45,180,44.4
2015-05-05,14.43,29.632,5.556,35.15,250,49.95
2015-05-06,19.06,29.632,7.408,35.15,320,57.35
2015-05-07,7.96,14.816,3.704,18.5,330,27.75
2015-05-08,12.21,24.076,5.556,27.75,80,40.7
2015-05-09,11.47,20.372,3.704,31.45,200,44.4
2015-05-10,25.16,31.484,16.668,35.15,200,57.35
2015-05-11,33.3,44.448,22.224,49.95,210,79.55
2015-05-12,20.72,35.188,5.556,40.7,260,55.5
2015-05-13,13.51,22.224,1.852,25.9,100,38.85
2015-05-14,19.42,31.484,7.408,37,100,51.8
2015-05-15,17.58,25.928,7.408,31.45,260,48.1
2015-05-16,22.39,29.632,12.964,35.15,270,55.5
2015-05-17,17.21,22.224,11.112,27.75,230,42.55
2015-05-18,22.39,35.188,11.112,38.85,280,68.45
2015-05-19,19.79,29.632,7.408,35.15,300,57.35
2015-05-20,15.54,24.076,5.556,27.75,270,42.55
2015-05-21,13.88,22.224,9.26,25.9,210,38.85
2015-05-22,12.02,20.372,5.556,24.05,290,35.15
2015-05-23,13.51,22.224,1.852,27.75,210,40.7
2015-05-24,16.09,24.076,5.556,25.9,290,37
2015-05-25,14.62,20.372,7.408,22.2,270,33.3
2015-05-26,13.69,22.224,7.408,22.2,270,35.15
2015-05-27,20.54,33.336,7.408,38.85,290,59.2
2015-05-28,17.76,31.484,7.408,37,250,53.65
2015-05-29,17.02,27.78,5.556,33.3,280,48.1
2015-05-30,14.24,27.78,3.704,33.3,270,53.65
2015-05-31,21.09,27.78,11.112,37,240,62.9
2015-06-01,24.42,40.744,11.112,48.1,250,72.15
2015-06-02,16.84,33.336,7.408,38.85,240,57.35
2015-06-03,12.95,20.372,7.408,24.05,200,35.15
2015-06-04,11.84,16.668,5.556,22.2,170,33.3
2015-06-05,28.12,42.596,11.112,46.25,200,74
2015-06-06,24.98,35.188,9.26,40.7,260,57.35
2015-06-07,11.47,20.372,3.704,22.2,280,33.3
2015-06-08,12.21,20.372,3.704,24.05,320,35.15
2015-06-09,7.77,16.668,3.704,20.35,320,31.45
2015-06-10,9.43,18.52,3.704,20.35,350,35.15
2015-06-11,11.66,18.52,7.408,22.2,70,31.45
2015-06-12,12.21,16.668,7.408,20.35,340,33.3
2015-06-13,13.69,18.52,5.556,22.2,320,33.3
2015-06-14,10.54,14.816,3.704,18.5,20,27.75
2015-06-15,9.99,18.52,1.852,20.35,210,29.6
2015-06-16,19.98,25.928,9.26,29.6,190,48.1
2015-06-17,16.28,27.78,7.408,31.45,280,46.25
2015-06-18,17.58,27.78,7.408,29.6,270,40.7
2015-06-19,11.1,18.52,5.556,20.35,260,27.75
2015-06-20,15.73,25.928,7.408,29.6,250,49.95
2015-06-21,17.76,25.928,7.408,29.6,240,48.1
2015-06-22,12.58,20.372,3.704,22.2,300,37
2015-06-23,7.03,12.964,1.852,16.65,240,24.05
2015-06-24,11.47,22.224,3.704,25.9,200,35.15
2015-06-25,15.36,24.076,3.704,27.75,160,42.55
2015-06-26,19.98,27.78,11.112,29.6,210,46.25
2015-06-27,19.06,27.78,11.112,33.3,200,53.65
2015-06-28,20.54,27.78,11.112,29.6,210,46.25
2015-06-29,15.36,20.372,7.408,25.9,160,40.7
2015-06-30,18.5,29.632,5.556,33.3,160,51.8
2015-07-01,6.29,16.668,1.852,22.2,270,31.45
2015-07-02,11.1,18.52,3.704,22.2,200,33.3
2015-07-03,17.76,24.076,7.408,29.6,140,48.1
2015-07-04,21.46,31.484,7.408,35.15,200,51.8
2015-07-05,13.13,22.224,5.556,25.9,210,37
2015-07-06,19.06,27.78,7.408,31.45,210,49.95
2015-07-07,19.98,25.928,14.816,31.45,220,46.25
2015-07-08,17.76,27.78,5.556,31.45,300,48.1
2015-07-09,11.28,20.372,3.704,24.05,200,35.15
2015-07-10,16.28,20.372,11.112,24.05,190,38.85
2015-07-11,21.83,31.484,11.112,37,190,55.5
2015-07-12,12.02,18.52,5.556,22.2,250,33.3
2015-07-13,11.84,20.372,3.704,24.05,350,37
2015-07-14,8.88,14.816,3.704,18.5,10,27.75
2015-07-15,6.85,12.964,1.852,14.8,0,22.2
2015-07-16,18.13,31.484,7.408,33.3,90,51.8
2015-07-17,25.16,31.484,12.964,38.85,240,57.35
2015-07-18,15.91,27.78,5.556,33.3,200,51.8
2015-07-19,11.66,20.372,3.704,24.05,250,35.15
2015-07-20,20.16,31.484,5.556,35.15,210,55.5
2015-07-21,12.95,18.52,5.556,22.2,250,33.3
2015-07-22,12.58,22.224,5.556,27.75,250,38.85
2015-07-23,10.73,14.816,5.556,18.5,220,33.3
2015-07-24,9.25,18.52,1.852,22.2,0,35.15
2015-07-25,8.14,12.964,1.852,20.35,110,33.3
2015-07-26,18.13,29.632,9.26,37,130,53.65
2015-07-27,16.84,27.78,7.408,31.45,280,49.95
2015-07-28,14.8,24.076,7.408,27.75,260,46.25
2015-07-29,14.06,22.224,7.408,25.9,310,40.7
2015-07-30,10.92,16.668,3.704,22.2,230,33.3
2015-07-31,15.91,24.076,7.408,27.75,190,46.25
2015-08-01,14.24,24.076,7.408,29.6,230,44.4
2015-08-02,18.31,25.928,7.408,29.6,120,48.1
2015-08-03,29.97,38.892,16.668,46.25,190,83.25
2015-08-04,24.79,31.484,14.816,35.15,220,55.5
2015-08-05,10.73,14.816,7.408,18.5,320,29.6
2015-08-06,7.96,14.816,1.852,20.35,250,29.6
2015-08-07,7.4,16.668,1.852,18.5,260,27.75
2015-08-08,19.24,33.336,7.408,37,200,53.65
2015-08-09,17.76,22.224,11.112,25.9,190,38.85
2015-08-10,16.65,29.632,9.26,31.45,250,46.25
2015-08-11,8.51,14.816,1.852,20.35,280,35.15
2015-08-12,8.33,12.964,1.852,16.65,230,24.05
2015-08-13,7.4,14.816,1.852,20.35,250,29.6
2015-08-14,12.95,24.076,3.704,27.75,280,38.85
